Sample	FROH1-2	FROH2-4	FROH4-8	FROH8-16	FROH16
RTT_11128	0.020174975	0.031435298	0.032475944	0.087133369	0.064485124
RTT_11129	0.04608634	0.045988521	0.048809351	0.037373957	0.057713571
RTT_11130	0.045255038	0.035313392	0.053296769	0.076499398	0.064361933
RTT_11131	0.018972523	0.011834127	0.025070665	0.02318624	0.110491147
RTT_11134	0.034826235	0.020217851	0.027577523	0.023621501	0.016186446
RTT_11135	0.019985182	0.01230524	0.025314287	0.050497695	0.027536628
RTT_11136	0.069651182	0.031541693	0.008973315	0.006598351	0
RTT_11137	0.03693984	0.019567071	0.007620466	0	0
RTT_11138	0.018251555	0.018743429	0.01562341	0.007297728	0.021833981
RTT_11139	0.04653033	0.025319037	0.019431213	0.004119336	0
RTT_11140	0.037085136	0.033096404	0.039323788	0.034674832	0.015040139
RTT_11141	0.020706539	0.017502299	0.018933783	0.039896194	0.105504886
RTT_11142	0.049443965	0.040893162	0.027205883	0.019834876	0.016702571
RTT_11143	0.064997601	0.016916382	0.005228634	0	0
RTT_11144	0.020839795	0.009335552	0.013469059	0.033395233	0.014907555
RTT_11145	0.019535345	0.020209994	0.039053534	0.031313294	0.070763609
RTT_11146	0.017668556	0.010328281	0.013265378	0.02896988	0.085171396
RTT_11147	0.061178377	0.036664947	0.018953112	0.010003099	0.010036974
RTT_11148	0.025730119	0.026866929	0.028116969	0.058646591	0.025870854
RTT_11149	0.024576793	0.017411097	0.007654776	0.008008428	0.007457157
RTT_11150	0.05345416	0.033179159	0.052201912	0.065941833	0.06999892
RTT_11152	0.012155416	0.011187973	0.02156608	0.025419847	0.045821438
RTT_11153	0.031936217	0.021365479	0.046068031	0.048629874	0.018371887
RTT_11154	0.021358934	0.021924488	0.011023442	0.011981817	0
RTT_11155	0.028257255	0.011227283	0.030841893	0.039468864	0.056392472
RTT_11156	0.0180874	0.022309421	0.015422585	0.054919064	0.029446646
RTT_11157	0.026004094	0.022693829	0.031165843	0.03902684	0.068623079
RTT_11158	0.039146198	0.033460532	0.033840014	0.018221683	0.006460126
RTT_11159	0.022558196	0.009801393	0.037408607	0.029879125	0.055151805
RTT_11160	0.046046034	0.039061119	0.023528843	0.018845022	0
RTT_11162	0.023266574	0.018739647	0.023878359	0.023257993	0.009808589
RTT_11196	0.025719994	0.022078676	0.053820497	0.058137184	0.048078952
