Sample	FROH1-2	FROH2-4	FROH4-8	FROH8-16	FROH16
RTT_11163	0.015460444	0.003242675	0	0.012331065	0
RTT_11164	0.011160769	0.001708887	0.00845269	0	0.009242694
RTT_11165	0.012625469	0.002947094	0.004519518	0.00415963	0
RTT_11166	0.009613335	0.002555992	0	0	0
RTT_11167	0.008775535	0.002112339	0	0	0
RTT_11169	0.008069863	0.005025503	0	0	0
RTT_11170	0.005540134	0.00145651	0.001962674	0.003277994	0
RTT_11171	0.011449624	0.003901819	0.004109055	0.004577804	0.01073637
RTT_11173	0.005978482	0.017669385	0.010904445	0.003866473	0.031417568
RTT_11175	0.006048291	0.00083945	0	0	0
RTT_11176	0.009145631	0.002842848	0.002109028	0.004125523	0
RTT_11177	0.004161398	0.001762495	0	0	0
RTT_11178	0.015470017	0.006892413	0.003436977	0.004496615	0
RTT_11179	0.036401614	0.013468363	0.001734561	0	0
RTT_11180	0.021225704	0.007179118	0.002816252	0	0
RTT_11181	0.021305517	0.0197234	0.015189968	0.003763028	0.013642548
RTT_11182	0.018155055	0.01843855	0.015494001	0.00331571	0.008585533
RTT_11183	0.033901983	0.014315762	0.008707563	0.003779295	0
RTT_11184	0.021267549	0.007582211	0.009397779	0.003649002	0
RTT_11185	0.03106585	0.015142337	0.010652126	0.005529442	0
RTT_11186	0.010641106	0.006571689	0	0	0
RTT_11187	0.013757771	0.007897517	0.016659971	0.021095223	0.010708906
