Sample	Fped
MO-011	0
EP-307	0
EP-310	0
MR-329	0
MG-449	0
JG-631	0
TM-905-C	0
MP-018-D	0.1347656
CO-602	0.125
RN-313-G	0
ZX-601-J	0.15625
EC-710-L	0
EC-724-L	0
AQ-709-L	0
EC-805-M	0
NH-804-M	0
JM-8009-M	0
MP-820-M	0.2021484
HO-802-M	0
DK-840-M	0
DA-903-N	0.109375
SB-910-N	0
JM-9018-N	0
FA-905-N	0
FA-915-N	0
TC-9025-N	0.0625
E-312-S	0
AQ-308-S	0.140625
AQ-309-S	0.1442871
J-304-S	0
LO-322-S	0
LO-324-S	0
GB-513-U	0.0697937
AQ-504-U	0.2851563
AQ-506-U	0.140625
AQ-509-U	0.1824951
NH-511-U	0.09375
AQ-513-U	0.140625
AQ-514-U	0.078125
TG-803-A	0.125
DK-812-A	0
JM-825-A	0.0703125
FO-117-D	0.0390625
GB-118-D	0.1731033
GB-203-E	0.01400757
DK-221-E	0.01953125
GB-206-E	0.02072525
CH-232-E	0
KJ-220-E	0.04756165
FO-315-F	0.07376862
DK-419-G	0.02539063
MG-535-H	0.003851891
DA-545-H	0.04931641
IF-509-H	0.1208038
AQ-537-H	0.1869354
AQ-707-J	0.1733551
GB-710-J	0.01994324
GB-808-L	0.05516052
DK-827-L	0.1650391
ND-818-L	0.03359127
EC-814-L	0.00390625
JO-844-L	0.03287888
O-801-L	0.01540756
BJ-918-M	0.01821899
PZ-933-M	0
JO-906-M	0.04931831
IV-902-M	0.1734104
CH-931-M	0
MJ-920-M	0.02148509
TK-903-M	0
FO-944-M	0.1327114
CA-907-M	0.0234375
CJ-913-M	0.01058006
BJ-023-N	0.1674008
ZH-021-N	0.05932617
DK-042-N	0.1352539
EC-013-N	0
KG-106-O	0.07839584
GM-101-O	0.04567385
KT-102-O	0.000759125
EC-101-O	0.000120163
MJ-110-O	0.04108238
CJ-108-O	0.1106088
DK-142-O	0.1650391
ZH-1031-O	0.1614503
DA-114-O	0.1339722
ND-137-O	0.1692944
ZH-208-P	0.2664225
DK-231-P	0.07324219
GB-208-P	0.1132257
AQ-214-P	0.3061628
MJ-13008	0.1025402
AQ-13006	0.2793846
JO-13028	0.006558627
GB-13011	0.151156
MJ-13032	0.1219586
AQ-13023	0.1638947
PU-13001	0.04710793
TV-14010	0.2788086
GB-14002	0.160821
ND-14004	0.01443577
GM-14007	0.166565
